CO_CODE,CTU_CODE,CTU_ID,COCTU_ID,CTU_NAME,YEAR,NONRES_TYPE_DESC,BLDG_NAME,BLDG_DESC,PERMIT_TYPE,PERMIT_VALUE,SQF,ADDRESS,ZIP_CODE,PIN,PLANNING_AREA
003,01486,02393954,00302393954,Andover,2004,Retail,Walgreens,Pharmacy/retail,N,768314,14560,2134 Bunker Lake Blvd,55304,343224310005,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Retail,CVS Pharmacy,Pharmacy/retail,N,942700,14598,3633 Bunker Lake Blvd,55304,323224240072,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Retail,Conoco Store,Gas station/car wash,N,644746,8160,15246 Bluebird St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Retail,Target Store,Retail,N,3988193,141481,2000 Bunker Lake Blvd,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2004,Schools,Anoka Hennepin School,High school modular classrooms,A,420000,13720,2115 Andover Blvd NW,55304,273224210007,Developing Communities
003,01486,02393954,00302393954,Andover,2005,Arts Entertainment and Recreation,Andover Lanes,Bowling alley,N,1123000,25702,13633 Martin St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2005,Eating and Drinking Establishments,McDonald's,Restaurant and fast food,N,545210,4309,15232 Bluebird St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2005,Eating and Drinking Establishments,Caribou Coffee,Coffee shop,A,112500,1680,1966 Bunker Lake Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2005,Retail,Clocktower Commons,Retail; strip mall,N,1550227,25828,15190 Bluebird St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2005,Retail,Andover Marketplace,Retail; strip mall,N,456866,9907,1966 Bunker Lake Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2006,Eating and Drinking Establishments,Serendipity Caf&#233;,Flower shop and caf&#233; and office space,N,888600,5691,3450 Bunker Lake Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2006,Recreation Public,Anoka County Park Shelter,Main park shelter,N,140100,2236,13483 County Pkwy C,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2006,Retail,Northpointe Plaza,Strip mall,N,585296,9972,13783 Ibis St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2006,Warehouse,Northwest Commercial,Warehouse addition,A,150000,19520,2355 Station Pkwy NW,55304,343224320010,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Bank,Wells Fargo Branch Office,Bank; suite 700,N,102804,2400,1966 Bunker Lake Blvd NW,55304,343224310156,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Government Office,Metro Mosquito Control Dist.,Office + 919sf cold storage,A,923561,7519,1260 Bunker Lake Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Other Commercial Services,Animal Eye Specialty Center,Animal clinic; suite 800,N,206630,2225,13783 Ibis St NW,55304,343224140013,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Other Commercial Services,Thurston Deshaw Funeral Home,Funeral home,N,468610,7325,13817 Jay St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Recreation Public,Andover Station,Ballfield bldg/concession,N,225000,4214,1823 139th La NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Religious,Sambulsa Temple of Minn.,Buddhist temple,N,237669,2800,475 Andover Blvd NW,55304,253224240004,Developing Communities
003,01486,02393954,00302393954,Andover,2007,Retail,Northgate Liquor Store,Liquor store,N,646220,10950,13627 Quinn St NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2008,Bank,Minnco Credit Union,Credit union,N,858640,5340,2121 Station Pkwy NW,55304,34-32-24-31-0156,Developing Communities
003,01486,02393954,00302393954,Andover,2008,Government Office,Anoka County Safety Campus,Sheriff Station with offices/parking ramp,N,13328000,54270,13333 Hanson Blvd NW,55304,,Developing Communities
003,01486,02393954,00302393954,Andover,2008,Manufacturing,Dynamic Sealing Technologies,Manufacturer w ofc &amp; storage,N,1561680,33866,13829 Jay St NW,55304,34-32-24-14-0019,Developing Communities
003,01486,02393954,00302393954,Andover,2008,Other Commercial Services,Foundation Hill Montessori &amp; Childcare,Day care,N,512190,6653,1750 139th Lane NW,55304,34-32-24-11-0012,Developing Communities
003,01486,02393954,00302393954,Andover,2008,Retail,Blue Fin Pool &amp; Spa,Retail,N,391000,2172,13779 Ibis St NW,55304,34-32-24-14-0020,Developing Communities
003,01486,02393954,00302393954,Andover,2009,Public Works,Water treatment plant,Public Industrial,A,271620,2552,1815 Crosstown Blvd NW,55304,22-32-24-42-0003,Developing Communities
003,01486,02393954,00302393954,Andover,2010,Other Commercial Services,Kwik Trip,Gas Station &amp; Convenient Store and Car Wash,N,800000,6415,1756 Bunker Lake Blvd. NW,55011,343224410006,Developing Communities
003,01486,02393954,00302393954,Andover,2011,Government Office,Anoka County Highway Dept.,New Fleet Services and remodel to existing offices and new addition/mezzanine area,A,8814679,125505,1440 Bunker Lake Blvd. NW,55304,293224000000,Developing Communities
003,01486,02393954,00302393954,Andover,2011,Manufacturing,Dynamic Sealing Technologies Inc.,Business additions &amp; mezzanine area,A,1570000,45954,13829 Jay Street NW,55304,343224000000,Developing Communities
003,01486,02393954,00302393954,Andover,2012,Other Commercial Services,Farrells FXB,fitness center,A,104000,4200,2246 Bunker Lake Blvd. NW,55011,,Developing Communities
003,01486,02393954,00302393954,Andover,2012,Retail,Target Store,Retail store,A,555000,0,2000 Bunker Lake Blvd. NW,55011,343224430030,Developing Communities
003,01720,02393964,00302393964,Anoka,2003,Office/Warehouse,Paper Cut Converting,Office &amp; warehouse space,N,925000,24192,950 McKinley St,55303,353225410017,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Office/Warehouse,Retail Services,Office and training and warehouse space,A,650000,23023,3750 Thurston,55303,363225230022,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Religious,Mt. Olive Lutheran Church,Sanctuary &amp; classrooms,A,2691292,35000,700 Western St,55303,0131253100002,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Retail,Anoka Assoc. LLC,Retail and multi-tenant,N,715000,12390,440 Bunker Lake Blvd,55303,363225120023,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Retail,Meadow Creek III,Retail and multi-tenant,N,470000,5229,3401 Round Lake Blvd,55303,323224310134,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Retail,Anoka Assoc. LLC,Retail and multi-tenant,N,485000,7440,3841 St. Francis Blvd,55303,363225120022,Developed Communities
003,01720,02393964,00302393964,Anoka,2003,Warehouse,Bendiske Concrete,Cold storage/warehouse,N,146500,3360,440 Garfield St,55303,013125120023,Developed Communities
003,01720,02393964,00302393964,Anoka,2004,Office and Retail,Mark Gausman,Office/Retail,A,125000,2500,2371 7th Ave,55303,063124310075,Developed Communities
003,01720,02393964,00302393964,Anoka,2004,Office/Warehouse,Superior Heating,Office/Warehouse/Retail,N,1329146,28528,3731 Thurston Ave,55303,323525140009,Developed Communities
003,01720,02393964,00302393964,Anoka,2005,Arts Entertainment and Recreation,Anoka Area Ice Arena Assoc.,Dryland Practice Arena,A,225000,9120,4111 7th Av,55303,303224340002,Developed Communities
003,01720,02393964,00302393964,Anoka,2005,Bank,Riverview Plaza and LLC,Bank,N,1975784,15420,2850 Cutters Grove Av,55303,123125110014,Developed Communities
003,01720,02393964,00302393964,Anoka,2005,Office and Retail,Riverview Plaza and LLC,Retail/office space,N,1110460,14024,2830 Cutters Grove Av,55303,023125110014,Developed Communities
003,01720,02393964,00302393964,Anoka,2005,Office/Warehouse,Central Power,Office/warehouse,N,2500000,58413,3801 Thurston Av,55303,363225230006,Developed Communities
003,01720,02393964,00302393964,Anoka,2006,Office and Retail,Gould's Diamonds &amp; Jewelry,Retail &amp; offices,N,925895,7987,700 Main St E,55303,073124120006,Developed Communities
003,01720,02393964,00302393964,Anoka,2006,Office/Warehouse,Graco,Office and warehouse &amp; mfg,A,682766,1300,1201 Lund Blvd,55303,353225130003,Developed Communities
003,01720,02393964,00302393964,Anoka,2007,Eating and Drinking Establishments,Meadow Creek Center,Restaurant,A,390000,2711,3603 Round Lk Blvd,55303,T002179,Developed Communities
003,01720,02393964,00302393964,Anoka,2007,Retail,Sign Station,Sales and mfg and signs,A,118000,1349,560 W Main St,55303,01312531004,Developed Communities
003,01720,02393964,00302393964,Anoka,2008,Recreation Public,Anoka Area Ice Arena,Ice arena,A,315000,4368,4111 7th Av,55303,303224340002,Developed Communities
003,01720,02393964,00302393964,Anoka,2008,Retail,CVS Pharmacy,Pharmacy/retail,N,1300000,12900,657 East Main St,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2008,Retail,Walgreens,Pharmacy/retail,N,1300000,15062,3605 Round Lake Blvd,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2008,Transit,Northstar Commuter Rail Station,Rail station (5 bldgs) and parking lots,N,3660890,1500,2718 4th Av,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2009,Public Works,City of Anoka,Wind Turbine Generator,N,190122,,600 Bunker Lake Blvd NW,55304,303224340003,Developed Communities
003,01720,02393964,00302393964,Anoka,2010,Bank,U S Bank,1 story slab on grade bank building,N,700000,3544,129 West Main Street,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2010,Office/Warehouse,Hoffman Enclosures,Labratory,A,120000,990,2100 Hoffman Way,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2010,Schools,Washington Middle School,Modular Classroom,N,147932,9800,2171 6th Avenue,55303,,Developed Communities
003,01720,02393964,00302393964,Anoka,2011,No Projects,,,,,,,,,Developed Communities
003,01720,02393964,00302393964,Anoka,2012,Medical--Commercial,Health Partners,Clinic,N,9450000,,601 Jacob Lane,,,Developed Communities
003,01720,02393964,00302393964,Anoka,2012,Recreation Public,Castle Field,City baseball field including 250 seat stadium bleacher with overhead canopy and press box (Phase I),N,307473,,4001 7th Avenue,55303,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Arts Entertainment and Recreation,Wise Swim School,School,N,520000,9456,5992 149th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Arts Entertainment and Recreation,Wise Swim School,School; indoor pool,,110000,,5992 149th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Bank,Wells Fargo Bank,Bank; addition,A,475000,2130,14325 Cedar Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Eating and Drinking Establishments,Enjoy Restaurant,Footings/foundation only,,243000,,Founders Way,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Eating and Drinking Establishments,Krispy Kreme,Fast food restaurant,N,468000,4693,14989 Florence Tr,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Eating and Drinking Establishments,Denny's Restaurant,Remodel &amp; 1 and225 SF addn,A,230000,,7805 150th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Medical--Commercial,Park Dental,Dental clinic,,254000,4100,14990 Glazier Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Medical--Commercial,Apple Valley Eye Clinic,Eye clinic,N,901000,4624,7789 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Office,Knob Ridge Business Park,Town offices,,2682000,20154,14827-14863 Energy Way,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Office/Warehouse,Pinnacle Ridge,Office/warehouse,N,670000,11198,6670 150th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Other Commercial Services,Andy's Market,Car wash addition,A,164000,1800,14113 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Public Works,City of Apple Valley,Pumping facility,,277000,,13543 Flint Ln,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Recreation Public,Minnesota Zoo,Gift shop,,100000,,13000 Zoo Blvd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Recreation Public,Minnesota Zoo,Lemur exhibit,,220000,,13000 Zoo Blvd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Retail,Valley Sales of Apple Valley,Retail; remodel &amp; 2 additions,,2200000,,7500 145th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2003,Schools,Scott Highlands Middle School,School; add bathrooms,A,101000,,14011 Pilot Knob Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Eating and Drinking Establishments,McDonald's Restaurant,Restaurant and fast food,N,510000,6473,7667 150th St. W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Eating and Drinking Establishments,Enjoy Restaurant,Restaurant,N,1619000,11075,15435 Founders Lane,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Office,ReMAX Results,Office,N,1750000,16630,15451 Founders Lane,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Office,Fischer Market Place,Office,A,107000,4304,14800 Galaxie Ave,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Other Commercial Services,New Horizon Childcare,Daycare,N,800000,10560,14088 141st St. W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Religious,S. Suburban Evan. Free Church,Church addn.,A,130000,28900,12600 Johnny Cake Ridge Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Religious,S. Suburban Evan. Free Church,Church addn. and remodel,A,2000000,40839,12600 Johnny Cake Ridge Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Retail,Wal Mart,Retail; Garden center,A,160000,4300,7835 150th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Retail,Pinnacle Ridge #3,Retail,N,663000,10207,6520 150th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2004,Schools,Apple Valley H.S.,School classroom and addn.,A,4522000,23280,14450 Hayes Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Eating and Drinking Establishments,Fajita's Southwest Grille,Restaurant (Galaxie Commons),N,140000,2295,15265 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Eating and Drinking Establishments,Let's Dish,Restaurant (Apple Valley Plaza),N,123000,2372,15052 Gleason Path,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Medical--Commercial,Oral &amp; Maxillofacial Surgery,Dental clinic and Bakken Prof. Bldg,N,139000,2204,14635 Pennock Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Office,Knob Ridge Business Park,Office condos (7) and indiv addresses,N,1252000,15760,14815 Energy Way,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Office and Retail,Legacy Shops South,Retail 25 and500 Office 19 and500+ramp,N,3889000,70500,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Office/Warehouse,Uponor Wirsbo,Manufacturer,A,3786000,41856,5925 148th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Office/Warehouse,Apple Valley Office Whse,Office/warehouse,N,672000,30000,5708 Upper 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Office/Warehouse,Questar Educational Systems,Office/warehouse,N,2881000,56779,5600 Upper 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Other Commercial Services,Goddard School,Daycare,N,910000,8251,7765 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Other Commercial Services,Dick's Valley Service,Automotive service,N,1240000,17640,6781 146th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Recreation Public,Minnesota Zoo,Zoo; storage building,N,154000,4500,13000 Zoo Blvd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Religious,Shepherd of the Valley Lutheran,Church addition--foundation,A,400000,,12650 Johhy Cake Ridge Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Religious,Hope Alliance Church,Church,A,625000,5400,7477 145th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Retail,The Cabinet Store,Retail,A,209000,3378,7611 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Retail,The Dollar Tree,Retail tenant,N,200000,1511,7350 153rd St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Retail,Walgreen's,Phamacy/retail,N,1125000,14687,14020 Pilot Knob Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Valley Middle School,School addn + renovations,A,1400000,3950,900 Garden View Dr,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Scott Highlands Middle School,School,A,2086000,22970,14011 Pilot Knob Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Westview Elementary,School addn + renovations,A,475000,2400,225 Garden Vew Dr,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Southview Elementary,School addn + renovations,A,475000,2400,1025 Whitney Dr,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Paideia Academy,School; tenant,N,598000,26000,7200 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Schools,Cedar Park Elementary,School addn + renovations,A,750000,,7500 Whitney Dr,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2005,Transit,Dakota County,Transit station + canopy,N,1300000,725,15865 Pilot Knob Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Arts Entertainment and Recreation,LA Fitness,Fitness center,N,6196000,44994,15135 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Eating and Drinking Establishments,Green Jungle Family Center,Restaurant - Legacy Shops South,N,140000,5000,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Eating and Drinking Establishments,Osaka Seafood &amp; Restaurant,Restaurant and Times Square Shopping Ctr.,N,125000,6266,7537 148th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Eating and Drinking Establishments,Raising Cane's Chicken Fingers,Restaurant,N,800000,3545,7501 150th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Eating and Drinking Establishments,Luxury Sweets &amp; Gelateria,Restaurant and  Legacy Shops South,N,160000,3000,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Eating and Drinking Establishments,Jan's Big Brown Bag &amp; Deli,Restaurant and  Legacy Shops South,N,117000,2300,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Hotel-Lodging,Grandstay Residential Suites,Hotel - 78 units &amp; retail,N,5228000,66835,7083 153rd St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Medical--Commercial,A.V. Medical Clinic,Medical clinic ramp &amp; addn,A,6200000,75772,14655 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Office,Pennock Avenue Office,Office,N,1304000,15000,7741 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Office,James Barton Design/Build,Office,N,1277000,15519,5920 148th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Office,Pennock Office Bldg,Office,N,420000,15696,7741 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Office,Countrywide Financial,Office - Wings Financial Center,N,120000,3734,14985 Glazier Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Office,Questar Educational System 1,Office; conversion from whse,N,305000,20000,5550 Upper 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Other Commercial Services,Signature Salon &amp; Spa,Salon/spa - Legacy Shops South,N,280000,3500,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Other Commercial Services,Cole's Salon,Salon,A,749000,2185,15050 Cedar Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Public Works,City of Apple Valley,Municipal pumping facility,N,250000,,5540 140th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Recreation Public,MN Zoological Gardens,Zoo and Russia's Grizzly Coast ftgs/fndn only,N,1215000,,13000 Zoo Blvd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Religious,Shepherd of the Valley Church,Church,A,907000,13000,12650 Johnny Cake Ridge Rd,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Retail,CVS Pharmacy,Pharmacy/retail,N,1650000,12900,15051 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Retail,Legacy Square Shops,Retail,N,128000,3934,15322 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Schools,Alternative Learning Center,School,N,2543000,28000,5840 149th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Schools,Diamond Path Elem. School,School,A,2260000,5900,14455 Diamond Path,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Schools,Paideia Academy,School,A,980000,13000,7200 147th St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2006,Schools,Greenleaf Elem. School,School,A,1300000,5945,13333 Galaxie Av,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Eating and Drinking Establishments,Panino Brothers,Restaurant,A,110000,4100,7083 153rd St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Eating and Drinking Establishments,Chipotle Mexican Grill,Restaurant; fast food,A,131000,550,7638 150th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Eating and Drinking Establishments,Jimmy John's,Restaurant; fast food,A,120000,1245,14875 Florence Tr,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Eating and Drinking Establishments,Hiraku Japanese Restaurant,Restaurant,N,250000,6815,15322 Galaxie Ave,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Manufacturing,Uponor Mfg (Phase 4B),Manufacturing,A,2845000,18953,5925 148th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Manufacturing,Uponor Mfg (Phase 5A),Manufacturing,A,2070000,18128,5925 148th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Manufacturing,Uponor Mfg (Phase 4A),Manufacturing,A,185000,2000,5925 148th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Office/Warehouse,Pilot Flex Center,Office/warehouse,N,1787000,33100,14711 Energy Way,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Office/Warehouse,Midwest Special Services,Office/warehouse,N,229000,9902,14779 Energy Way,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Other Commercial Services,Darque Tan,Tanning Salon,A,206000,2288,7875 150th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Other Commercial Services,All Star Montessori Day Care,Daycare,N,147000,5262,5920 148th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Religious,Mount Olivet Assembly of God,Church and youth Building,N,1400000,16000,14201 Cedar Ave,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Religious,Community of Christ Church,Church,A,850000,4870,5990 134th St Ct,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,CVS Pharmacy,Pharmacy/retail,N,1450000,12900,15115 Dove Trail,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,Super Target,Retail,N,9000000,179000,15560 Pilot Knob Rd,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,Staples,Retail,N,2000000,20389,14969 Florence Trail,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,Cobblestone Lake Retail  - Bldg. C,Retail,N,1123000,9600,15624 Pilot Knob Rd,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,Cobblestone Lake Retail  - Bldg. B,Retail,N,1123000,9600,15594 Pilot Knob Rd,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Retail,Sprint,Retail,A,120000,1100,7878 150th St W,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Schools,Cedar Park Elementary School,School,A,787000,4500,7500 Whitney Dr,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2007,Schools,Southview Elementary School,School,A,1200000,5500,1025 Whitney Dr,,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2008,Bank,M &amp; I Bank,Bank,N,1650000,5540,7095 151st St W,55124,,Developed Communities
037,01900,02393967,03702393967,Apple Valley,2008,Bank,Wells Fargo Bank,Bank,N,1030000,5169,15574 Pilot Knob Rd,55124,,Developed Communities
